VOLCANX020,NUMBER,NAME,LOCATION,STATUS,ELEV,TYPE,TIMEFRAME,LAT,LON
552.0,1203-04-,Big Cave,US-California,Holocene?,1259.0,Shield volcano,?,40.9548988,-121.3610001
553.0,1203-05-,Twin Buttes,US-California,Holocene?,1631.0,Cinder cones,?,40.7798996,-121.6009979
554.0,1203-06-,Tumble Buttes,US-California,Holocene?,2191.0,Cinder cones,?,40.6799011,-121.5510025
555.0,1203-09-,Eagle Lake Field,US-California,Holocene?,1652.0,Fissure vents,?,40.6299019,-120.8310013
556.0,1203-08-,Lassen Volc Center,US-California,Historical,3187.0,Stratovolcano,D2,40.4919014,-121.5009995
557.0,1203-10-,Clear Lake,US-California,Holocene,1439.0,Volcanic field,U,38.9698982,-122.7710037
558.0,1206-01-,Steamboat Springs,US-Nevada,Pleistocene-Fumarolic,1415.0,Lava domes,Q,39.3749008,-119.7210007
560.0,1208-01-,Dotsero,US-Colorado,Radiocarbon,2230.0,Maar,D7,39.6500015,-107.0309982
561.0,1203-11-,Mono Lake Volc Field,US-California,Tephrochronology,2121.0,Cinder cones,D4,37.9999008,-119.0309982
562.0,1207-05-,Black Rock Desert,US-Utah,Radiocarbon,1800.0,Volcanic field,D6,38.9700012,-112.5009995
563.0,1203-12-,Mono Craters,US-California,Radiocarbon,2796.0,Lava domes,D6,37.8799019,-119.0009995
564.0,1203-13-,Inyo Craters,US-California,Radiocarbon,2629.0,Lava domes,D6,37.6918983,-119.0210037
565.0,1203-14-,Long Valley,US-California,Pleistocene-Fumarolic,3390.0,Caldera,Q,37.6999016,-118.8710022
566.0,1203-15-,Red Cones,US-California,Radiocarbon,2748.0,Cinder cones,D7,37.5798988,-119.0510025
568.0,1203-16-,Ubehebe Craters,US-California,Anthropology,752.0,Maars,D7,37.0199013,-117.4509964
569.0,1207-04-,Markagunt Plateau,US-Utah,Dendrochronology,2840.0,Volcanic field,D6,37.5800018,-112.6709976
570.0,1207-01-,Santa Clara,US-Utah,Holocene?,1465.0,Volcanic field,?,37.257,-113.6210022
571.0,1207-03-,Bald Knoll,US-Utah,Holocene,2135.0,Cinder cones,U,37.3279991,-112.401001
572.0,1203-17-,Golden Trout Creek,US-California,Tephrochronology,2886.0,Volcanic field,D7,36.3578987,-118.3209991
574.0,1203-18-,Coso Volc Field,US-California,Holocene?,2400.0,Lava domes,?,36.0298996,-117.8209991
576.0,1209-01-,Uinkaret Field,US-Arizona,Anthropology,1555.0,Volcanic field,D6,36.3800011,-113.1309967
579.0,1203-19-,Lavic Lake,US-California,Holocene?,1495.0,Volcanic field,?,34.75,-116.6210022
580.0,1210-03-,Valles Caldera,US-New Mexico,Pleistocene-Fumarolic,3430.0,Caldera,Q,35.8699989,-106.5709991
581.0,1209-02-,Sunset Crater,US-Arizona,Dendrochronology,2447.0,Cinder cone,D6,35.3699989,-111.5009995
584.0,1203-20-,Amboy,US-California,Holocene,288.0,Cinder cone,U,34.5499992,-115.7809982
586.0,1210-02-,Zuni-Bandera,US-New Mexico,Anthropology,2550.0,Volcanic field,D7,34.7999992,-108.0009995
588.0,1210-01-,Carrizozo,US-New Mexico,Holocene,1731.0,Cinder cone,U,33.7801018,-105.9309998
